"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 12 02:11:35 IST 2023","Sun Nov 12 02:12:08 IST 2023","32919","","Claim functionality","","","","Claim: verify admin can reject submited claim user)",""
"passed","Sun Nov 12 02:11:00 IST 2023","Sun Nov 12 02:11:32 IST 2023","32754","","Claim functionality","","","","Claim: verify admin can approve submited claim user )",""
